branch_index,target_log10_EI,log10_EI,xM_over_L,alpha_beam,sa_ratio_beam
1,-1.4208614356,-1.420861,0.319345,2.990025e-03,-2.473882
1,-1.3804573952,-1.380457,0.328584,2.530142e-03,-2.453852
1,-1.3400533548,-1.340053,0.341641,-4.226509e-03,-2.362131
1,-1.2996493144,-1.299649,0.352028,-3.127848e-03,-2.377076
1,-1.2592452740,-1.259245,0.363964,-3.189545e-03,-2.365277
1,-1.7440937589,-1.744094,0.268394,-4.668021e-03,-2.570929
1,-1.7036897185,-1.703690,0.273335,-3.990871e-03,-2.690400
1,-1.6632856781,-1.663286,0.278992,-4.938227e-03,-2.600506
1,-1.6228816377,-1.622882,0.284822,-4.536943e-03,-2.596086
1,-1.5824775973,-1.582478,0.291041,-3.878277e-03,-2.588102
1,-1.5420735569,-1.542074,0.297755,-3.301156e-03,-2.561310
1,-1.5016695165,-1.501670,0.305354,-3.911358e-03,-2.480757
1,-1.4612654760,-1.461265,0.313735,-4.954107e-03,-2.402775
1,-2.0673260821,-2.067326,0.239384,-4.313051e-03,-1.791395
1,-2.0269220417,-2.026922,0.242075,-4.007456e-03,-1.874440
1,-1.9865180013,-1.986518,0.244964,-3.551800e-03,-1.961953
1,-1.9461139609,-1.946114,0.248074,-3.042636e-03,-2.055767
1,-1.9057099205,-1.905710,0.251428,-2.531017e-03,-2.158388
1,-1.8653058801,-1.865306,0.255292,-4.064046e-03,-2.259823
1,-1.8249018397,-1.824902,0.259142,-2.946326e-03,-2.394702
1,-1.7844977993,-1.784498,0.263597,-3.933183e-03,-2.502563
1,-2.3905584053,-2.390558,0.223256,1.519495e-05,-1.141205
1,-2.3501543649,-2.350154,0.224953,-3.957144e-03,-1.234558
1,-2.3097503245,-2.309750,0.226603,-2.819743e-03,-1.318376
1,-2.2693462841,-2.269346,0.228397,-3.311526e-03,-1.399415
1,-2.2289422437,-2.228942,0.230273,-2.936320e-03,-1.477521
1,-2.1885382033,-2.188538,0.232375,-4.704188e-03,-1.556028
1,-2.1481341629,-2.148134,0.234480,-3.367707e-03,-1.632540
1,-2.1077301225,-2.107730,0.236857,-4.137806e-03,-1.711257
1,-2.7137907286,-2.713791,0.216258,5.059290e-04,-0.539130
1,-2.6733866882,-2.673387,0.219619,5.864245e-03,-0.223433
1,-2.6329826478,-2.632983,0.373609,-3.284543e-03,1.457689
1,-2.5925786074,-2.592579,0.213705,7.054673e-03,-0.298123
1,-2.5521745670,-2.552175,0.216746,2.930675e-04,-0.601427
1,-2.5117705266,-2.511771,0.218593,3.362880e-05,-0.787253
1,-2.4713664861,-2.471366,0.220294,-7.461374e-03,-0.930937
1,-2.4309624457,-2.430962,0.221788,-4.007667e-03,-1.043797
1,-3.0370230518,-3.037023,0.205709,4.322923e-03,-1.316778
1,-2.9966190114,-2.996619,0.206851,-8.049681e-05,-1.254031
1,-2.9562149710,-2.956215,0.208092,-1.825559e-04,-1.185769
1,-2.9158109306,-2.915811,0.209310,-3.975936e-04,-1.114126
1,-2.8754068902,-2.875407,0.210537,2.455110e-04,-1.036181
1,-2.8350028498,-2.835003,0.211764,6.805910e-06,-0.949353
1,-2.7945988094,-2.794599,0.213054,2.598556e-04,-0.847016
1,-2.7541947690,-2.754195,0.214498,2.594659e-03,-0.717427
1,-3.3602553750,-3.360255,0.192877,-1.573108e-03,-1.928238
1,-3.3198513346,-3.319851,0.194758,-1.544408e-03,-1.835589
1,-3.2794472942,-3.279447,0.196575,-1.013158e-03,-1.749280
1,-3.2390432538,-3.239043,0.198392,1.269841e-03,-1.665812
1,-3.1986392134,-3.198639,0.199908,-8.214871e-05,-1.593597
1,-3.1582351730,-3.158235,0.201429,3.679791e-05,-1.522259
1,-3.1178311326,-3.117831,0.202884,3.163482e-04,-1.453383
1,-3.0774270922,-3.077427,0.204126,-3.552233e-03,-1.389525
1,-3.6834876983,-3.683488,0.181350,-4.662106e-03,-2.264351
1,-3.6430836579,-3.643084,0.180603,2.031293e-03,-2.478014
1,-3.6026796175,-3.602680,0.180429,7.226939e-04,-2.683777
1,-3.5622755771,-3.562276,0.182311,-2.325615e-04,-2.571396
1,-3.5218715367,-3.521872,0.184539,-5.716983e-04,-2.409590
1,-3.4814674962,-3.481467,0.186781,-5.887127e-04,-2.264444
1,-3.4410634558,-3.441063,0.188986,-1.878355e-04,-2.135787
1,-3.4006594154,-3.400659,0.191074,1.526071e-04,-2.023010
1,-4.0067200215,-4.006720,0.152386,-2.678722e-03,-2.868219
1,-3.9663159811,-3.966316,0.155326,-4.723223e-03,-2.623118
1,-3.9259119407,-3.925912,0.158083,-3.758364e-03,-2.705225
1,-3.8855079003,-3.885508,0.160829,-2.773631e-03,-2.792730
1,-3.8451038599,-3.845104,0.163840,-3.809975e-03,-2.689801
1,-3.8046998195,-3.804700,0.166958,-4.774098e-03,-2.613745
1,-3.7642957791,-3.764296,0.169417,-2.601823e-03,-2.848950
1,-3.7238917387,-3.723892,0.173160,-3.955185e-03,-2.692306
1,-4.3299523447,-4.329952,0.268254,-2.526780e-03,2.434404
1,-4.2895483043,-4.289548,0.134444,2.407853e-04,-2.555663
1,-4.2491442639,-4.249144,0.136980,-1.095301e-02,-2.188170
1,-4.2087402235,-4.208740,0.139306,-4.708860e-03,-2.507585
1,-4.1683361831,-4.168336,0.141829,-5.123363e-03,-2.524114
1,-4.1279321427,-4.127932,0.144377,-4.109143e-03,-2.640855
1,-4.0875281023,-4.087528,0.147006,-3.803333e-03,-2.701905
1,-4.0471240619,-4.047124,0.149647,-2.690592e-03,-2.869386
1,-4.5319725468,-4.531973,0.000000,-1.027694e-10,10.276378
1,-4.4107604255,-4.410760,0.000000,-9.876868e-11,10.293457
1,-4.3703563851,-4.370356,0.000000,-1.047209e-10,10.266958
1,-4.8552048700,-4.855205,-0.435026,9.332287e-01,-0.098500
1,-4.8148008296,-4.814801,-0.424925,6.710554e-01,0.404787
1,-4.7743967892,-4.774397,-0.414824,-1.072388e-01,1.181377
1,-4.7339927488,-4.733993,-0.404723,-5.930610e-01,0.462650
1,-4.6935887084,-4.693589,-0.394622,-8.206383e-01,0.257469
1,-5.1380331528,-5.138033,-0.505733,1.081977e-04,-1.743707
1,-5.0976291124,-5.097629,0.000000,-4.035803e-11,10.203641
1,-5.0168210316,-5.016821,-0.475430,-2.223205e-01,-0.922183
1,-1.4208614356,-1.420861,0.319349,2.980567e-03,-2.474102
1,-1.3804573952,-1.380457,0.328578,2.544946e-03,-2.453602
1,-1.3400533548,-1.340053,0.341641,-4.226523e-03,-2.362130
1,-1.2996493144,-1.299649,0.352028,-3.127946e-03,-2.377074
1,-1.2592452740,-1.259245,0.363964,-3.189429e-03,-2.365280
1,-1.7440937589,-1.744094,0.268394,-4.668021e-03,-2.570929
1,-1.7036897185,-1.703690,0.273335,-3.990871e-03,-2.690400
1,-1.6632856781,-1.663286,0.278992,-4.938227e-03,-2.600506
1,-1.6228816377,-1.622882,0.284822,-4.536943e-03,-2.596086
1,-1.5824775973,-1.582478,0.291041,-3.878277e-03,-2.588102
1,-1.5420735569,-1.542074,0.297755,-3.301156e-03,-2.561310
1,-1.5016695165,-1.501670,0.305355,-3.916524e-03,-2.480529
1,-1.4612654760,-1.461265,0.313738,-4.962132e-03,-2.402465
1,-2.0673260821,-2.067326,0.239384,-4.313051e-03,-1.791395
1,-2.0269220417,-2.026922,0.242075,-4.007456e-03,-1.874440
1,-1.9865180013,-1.986518,0.244964,-3.551800e-03,-1.961953
1,-1.9461139609,-1.946114,0.248074,-3.042636e-03,-2.055767
1,-1.9057099205,-1.905710,0.251428,-2.531017e-03,-2.158388
1,-1.8653058801,-1.865306,0.255292,-4.064046e-03,-2.259823
1,-1.8249018397,-1.824902,0.259142,-2.946326e-03,-2.394702
1,-1.7844977993,-1.784498,0.263597,-3.933183e-03,-2.502563
1,-2.3905584053,-2.390558,0.223256,1.519495e-05,-1.141205
1,-2.3501543649,-2.350154,0.224953,-3.957144e-03,-1.234558
1,-2.3097503245,-2.309750,0.226603,-2.819743e-03,-1.318376
1,-2.2693462841,-2.269346,0.228397,-3.311526e-03,-1.399415
1,-2.2289422437,-2.228942,0.230273,-2.936320e-03,-1.477521
1,-2.1885382033,-2.188538,0.232375,-4.704188e-03,-1.556028
1,-2.1481341629,-2.148134,0.234480,-3.367707e-03,-1.632540
1,-2.1077301225,-2.107730,0.236857,-4.137806e-03,-1.711257
